DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
ADILABAD,0,1518,ANDHRA PRADESH,50,16,17,199,50,78,46,41,2001,22,177,60,101,30,4154,9,1,198,104
ANANTAPUR,0,754,ANDHRA PRADESH,23,11,1,366,23,168,53,16,2001,57,309,125,151,69,4125,8,8,191,65
CHITTOOR,0,1262,ANDHRA PRADESH,27,33,2,723,27,156,59,14,2001,164,559,57,101,38,5818,4,9,237,209
CUDDAPAH,0,1181,ANDHRA PRADESH,20,12,1,173,20,164,25,4,2001,36,137,53,80,23,3140,1,2,98,37
EAST GODAVARI,0,2313,ANDHRA PRADESH,23,50,1,1021,23,70,49,25,2001,150,871,67,82,41,6507,4,3,437,220
GUNTAKAL RLY.,0,104,ANDHRA PRADESH,0,0,0,162,0,1,0,2,2001,0,162,1,3,0,287,5,3,0,0
GUNTUR,0,2426,ANDHRA PRADESH,54,67,2,1122,54,244,82,59,2001,171,951,88,182,43,7848,16,8,338,300
HYDERABAD CITY,0,1512,ANDHRA PRADESH,37,101,7,2792,37,65,80,67,2001,1128,1664,113,111,0,11831,13,24,1155,1293
KARIMNAGAR,0,1726,ANDHRA PRADESH,56,25,6,392,56,220,67,50,2001,54,338,85,162,33,5811,27,5,218,243
KHAMMAM,0,1450,ANDHRA PRADESH,47,35,1,368,47,153,41,13,2001,34,334,60,93,73,4582,1,5,172,130
KRISHNA,0,862,ANDHRA PRADESH,37,24,0,478,37,70,36,15,2001,27,451,51,65,62,4779,3,1,163,104
KURNOOL,0,1401,ANDHRA PRADESH,29,6,4,297,29,84,47,22,2001,6,291,72,133,5,4581,6,2,155,126
MAHABOOBNAGAR,0,2158,ANDHRA PRADESH,59,22,26,316,59,157,42,27,2001,33,283,67,157,0,4819,8,0,249,84
MEDAK,0,454,ANDHRA PRADESH,35,17,12,286,35,100,26,26,2001,36,250,56,101,37,3532,27,4,219,87
NALGONDA,0,1781,ANDHRA PRADESH,35,13,1,318,35,220,27,28,2001,43,275,60,122,72,5002,6,8,133,122
NELLORE,0,1585,ANDHRA PRADESH,46,20,5,608,46,97,90,16,2001,72,536,69,89,65,5245,12,3,244,177
NIZAMABAD,0,787,ANDHRA PRADESH,21,61,14,234,21,51,38,22,2001,48,186,49,106,30,3621,7,1,158,122
PRAKASHAM,0,808,ANDHRA PRADESH,19,16,3,278,19,138,31,14,2001,33,245,82,102,43,3678,15,1,147,88
RANGA REDDY,0,2103,ANDHRA PRADESH,72,67,16,1296,72,65,106,78,2001,347,949,95,214,67,9867,24,3,1076,527
